"Date","Price","Open","High","Low","Change %"
"07/14/2021","-0.095","-0.099","-0.095","-0.099","0.00%"
"07/13/2021","-0.095","-0.099","-0.095","-0.099","1.06%"
"07/12/2021","-0.094","-0.099","-0.094","-0.099","-9.62%"
"07/11/2021","-0.104","-0.104","-0.104","-0.104","8.33%"
"07/09/2021","-0.096","-0.104","-0.096","-0.104","-7.69%"
"07/08/2021","-0.104","-0.099","-0.096","-0.104","9.47%"
"07/07/2021","-0.095","-0.099","-0.095","-0.099","0.00%"
"07/06/2021","-0.095","-0.099","-0.095","-0.099","0.00%"
"07/05/2021","-0.095","-0.099","-0.095","-0.099","-4.04%"
"07/04/2021","-0.099","-0.099","-0.099","-0.099","4.21%"
"07/02/2021","-0.095","-0.099","-0.095","-0.099","0.00%"
"07/01/2021","-0.095","-0.104","-0.095","-0.104","-0.52%"
"06/30/2021","-0.095","-0.104","-0.095","-0.104","0.00%"
"06/29/2021","-0.095","-0.104","-0.095","-0.104","0.00%"
"06/28/2021","-0.095","-0.104","-0.095","-0.104","-8.17%"
"06/27/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"06/25/2021","-0.104","-0.099","-0.099","-0.104","10.05%"
"06/24/2021","-0.094","-0.099","-0.094","-0.099","0.00%"
"06/23/2021","-0.094","-0.099","-0.094","-0.099","-1.05%"
"06/22/2021","-0.095","-0.099","-0.095","-0.099","-0.52%"
"06/21/2021","-0.096","-0.099","-0.096","-0.099","-3.03%"
"06/20/2021","-0.099","-0.099","-0.099","-0.099","3.12%"
"06/18/2021","-0.096","-0.096","-0.096","-0.096","-3.03%"
"06/17/2021","-0.099","-0.104","-0.099","-0.194","3.66%"
"06/16/2021","-0.095","-0.104","-0.095","-0.104","-8.17%"
"06/15/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"06/14/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"06/13/2021","-0.104","-0.104","-0.104","-0.104","9.47%"
"06/11/2021","-0.095","-0.104","-0.095","-0.104","-8.65%"
"06/10/2021","-0.104","-0.095","-0.095","-0.104","9.47%"
"06/09/2021","-0.095","-0.104","-0.095","-0.104","-8.65%"
"06/08/2021","-0.104","-0.097","-0.097","-0.104","7.77%"
"06/07/2021","-0.097","-0.097","-0.097","-0.097","0.00%"
"06/06/2021","-0.097","-0.097","-0.097","-0.097","0.00%"
"06/04/2021","-0.097","-0.109","-0.097","-0.109","-6.31%"
"06/03/2021","-0.103","-0.109","-0.103","-0.109","0.00%"
"06/02/2021","-0.103","-0.109","-0.103","-0.109","-0.96%"
"06/01/2021","-0.104","-0.109","-0.104","-0.109","-4.59%"
"05/31/2021","-0.109","-0.109","-0.109","-0.109","0.00%"
"05/30/2021","-0.109","-0.109","-0.109","-0.109","-2.24%"
"05/28/2021","-0.112","-0.109","-0.109","-0.112","4.69%"
"05/27/2021","-0.106","-0.134","-0.106","-0.134","0.00%"
"05/26/2021","-0.106","-0.134","-0.106","-0.134","-4.48%"
"05/25/2021","-0.112","-0.134","-0.112","-0.134","0.00%"
"05/24/2021","-0.112","-0.134","-0.112","-0.134","-16.79%"
"05/23/2021","-0.134","-0.134","-0.134","-0.134","22.94%"
"05/21/2021","-0.109","-0.109","-0.109","-0.109","10.10%"
"05/20/2021","-0.099","-0.109","-0.099","-0.109","-0.50%"
"05/19/2021","-0.100","-0.109","-0.100","-0.109","-8.72%"
"05/18/2021","-0.109","-0.100","-0.100","-0.109","0.00%"
"05/17/2021","-0.109","-0.104","-0.098","-0.109","4.81%"
"05/16/2021","-0.104","-0.104","-0.104","-0.104","-46.80%"
"05/14/2021","-0.196","-0.099","-0.099","-0.196","97.47%"
"05/13/2021","-0.099","-0.104","-0.099","-0.195","3.12%"
"05/12/2021","-0.096","-0.104","-0.096","-0.104","-0.52%"
"05/11/2021","-0.097","-0.104","-0.097","-0.104","0.00%"
"05/10/2021","-0.097","-0.104","-0.097","-0.104","-7.21%"
"05/09/2021","-0.104","-0.104","-0.104","-0.104","5.05%"
"05/07/2021","-0.099","-0.109","-0.099","-0.109","-9.17%"
"05/06/2021","-0.109","-0.109","-0.109","-0.109","0.00%"
"05/05/2021","-0.109","-0.109","-0.109","-0.109","0.00%"
"04/30/2021","-0.109","-0.109","-0.109","-0.109","0.00%"
"04/29/2021","-0.109","-0.109","-0.109","-0.109","9.00%"
"04/28/2021","-0.100","-0.109","-0.100","-0.109","1.01%"
"04/27/2021","-0.099","-0.109","-0.099","-0.109","0.00%"
"04/26/2021","-0.099","-0.109","-0.099","-0.109","-9.17%"
"04/25/2021","-0.109","-0.109","-0.109","-0.109","4.81%"
"04/23/2021","-0.104","-0.104","-0.104","-0.104","7.77%"
"04/22/2021","-0.097","-0.104","-0.097","-0.104","0.00%"
"04/21/2021","-0.097","-0.104","-0.097","-0.104","0.00%"
"04/20/2021","-0.097","-0.104","-0.097","-0.104","1.58%"
"04/19/2021","-0.095","-0.104","-0.095","-0.104","-8.65%"
"04/18/2021","-0.104","-0.104","-0.104","-0.104","8.33%"
"04/16/2021","-0.096","-0.099","-0.096","-0.104","6.67%"
"04/15/2021","-0.090","-0.099","-0.089","-0.099","0.00%"
"04/14/2021","-0.090","-0.099","-0.090","-0.099","0.00%"
"04/13/2021","-0.090","-0.099","-0.090","-0.099","0.00%"
"04/12/2021","-0.090","-0.099","-0.090","-0.099","-8.59%"
"04/11/2021","-0.099","-0.099","-0.099","-0.099","-47.62%"
"04/09/2021","-0.189","-0.094","-0.094","-0.189","101.06%"
"04/08/2021","-0.094","-0.089","-0.089","-0.094","5.62%"
"04/07/2021","-0.089","-0.084","-0.084","-0.089","5.95%"
"04/06/2021","-0.084","-0.089","-0.083","-0.089","-5.62%"
"04/05/2021","-0.089","-0.089","-0.089","-0.089","-10.10%"
"04/04/2021","-0.099","-0.099","-0.099","-0.099","0.00%"
"04/02/2021","-0.099","-0.099","-0.099","-0.099","4.21%"
"04/01/2021","-0.095","-0.099","-0.095","-0.099","1.06%"
"03/31/2021","-0.094","-0.099","-0.094","-0.099","-5.05%"
"03/30/2021","-0.099","-0.094","-0.094","-0.099","5.32%"
"03/29/2021","-0.094","-0.094","-0.094","-0.094","0.00%"
"03/28/2021","-0.094","-0.094","-0.094","-0.094","-2.08%"
"03/26/2021","-0.096","-0.104","-0.096","-0.104","0.00%"
"03/25/2021","-0.096","-0.104","-0.096","-0.104","-0.52%"
"03/24/2021","-0.097","-0.104","-0.097","-0.104","-0.52%"
"03/23/2021","-0.097","-0.104","-0.097","-0.104","0.00%"
"03/22/2021","-0.097","-0.104","-0.097","-0.104","-6.73%"
"03/21/2021","-0.104","-0.104","-0.104","-0.104","7.22%"
"03/19/2021","-0.097","-0.097","-0.097","-0.097","-6.73%"
"03/18/2021","-0.104","-0.104","-0.104","-0.104","0.00%"
"03/17/2021","-0.104","-0.104","-0.104","-0.104","-47.07%"
"03/16/2021","-0.197","-0.104","-0.104","-0.197","0.00%"
